versão=11;
"Tabela de Municípios do IBGE", baixada no site do SPED Fiscal; 
em 14/01/2013, o município de "Presidente Juscelino" (2410306) passou a chamar-se "Serra Caiada";
COD_MUN|NOM_MUN|DT_INI|DT_FIM
5300108|Brasília|01012009|
1400050|Alto Alegre|01012009|
1400027|Amajari|01012009|
1400100|Boa Vista|01012009|
1400159|Bonfim|01012009|
1400175|Cantá|01012009|
1400209|Caracaraí|01012009|
1400233|Caroebe|01012009|
1400282|Iracema|01012009|
1400308|Mucajaí|01012009|
1400407|Normandia|01012009|
1400456|Pacaraima|01012009|
1400472|Rorainópolis|01012009|
1400506|São João da Baliza|01012009|
1400605|São Luiz|01012009|
1400704|Uiramutã|01012009|
1600105|Amapá|01012009|
1600204|Calçoene|01012009|
1600212|Cutias|01012009|
1600238|Ferreira Gomes|01012009|
1600253|Itaubal|01012009|
1600279|Laranjal do Jari|01012009|
1600303|Macapá|01012009|
1600402|Mazagão|01012009|
1600501|Oiapoque|01012009|
1600154|Pedra Branca do Amapari|01012009|
1600535|Porto Grande|01012009|
1600550|Pracuúba|01012009|
1600600|Santana|01012009|
1600055|Serra do Navio|01012009|
1600709|Tartarugalzinho|01012009|
1600808|Vitória do Jari|01012009|
1200013|Acrelândia|01012009|
1200054|Assis Brasil|01012009|
1200104|Brasiléia|01012009|
1200138|Bujari|01012009|
1200179|Capixaba|01012009|
1200203|Cruzeiro do Sul|01012009|
1200252|Epitaciolândia|01012009|
1200302|Feijó|01012009|
1200328|Jordão|01012009|
1200336|Mâncio Lima|01012009|
1200344|Manoel Urbano|01012009|
1200351|Marechal Thaumaturgo|01012009|
1200385|Plácido de Castro|01012009|
1200807|Porto Acre|01012009|
1200393|Porto Walter|01012009|
1200401|Rio Branco|01012009|
1200427|Rodrigues Alves|01012009|
1200435|Santa Rosa do Purus|01012009|
1200500|Sena Madureira|01012009|
1200450|Senador Guiomard|01012009|
1200609|Tarauacá|01012009|
1200708|Xapuri|01012009|
1100015|Alta Floresta D'Oeste|01012009|
1100379|Alto Alegre dos Parecis|01012009|
1100403|Alto Paraíso|01012009|
1100346|Alvorada D'Oeste|01012009|
1100023|Ariquemes|01012009|
1100452|Buritis|01012009|
1100031|Cabixi|01012009|
1100601|Cacaulândia|01012009|
1100049|Cacoal|01012009|
1100700|Campo Novo de Rondônia|01012009|
1100809|Candeias do Jamari|01012009|
1100908|Castanheiras|01012009|
1100056|Cerejeiras|01012009|
1100924|Chupinguaia|01012009|
1100064|Colorado do Oeste|01012009|
1100072|Corumbiara|01012009|
1100080|Costa Marques|01012009|
1100940|Cujubim|01012009|
1100098|Espigão D'Oeste|01012009|
